condition,algorithm,seed,lambda,domain_id,train_count,test_accuracy,loss,empirical_weight,deployment_weight,source,alpha_eval,head_domain_id,tail_domain_id,is_head_domain,is_tail_domain
missing_tail,irm,2,,0.5,500,0.6071,1.2921907305717468,0.0625,0.25,main_eval,,0.1,0.9,0,0
missing_tail,irm,2,,0.9,0,0.403,2.039573550224304,0.0,0.25,main_eval,,0.1,0.9,0,1
near_missing_tail,inftask,2,,0.1,5800,0.8011,0.5373789668083191,0.725,0.25,main_eval,,0.1,0.9,1,0
near_missing_tail,inftask,2,,0.2,1800,0.7505,0.5711723864078522,0.225,0.25,main_eval,,0.1,0.9,0,0
near_missing_tail,inftask,2,,0.5,350,0.6276,0.6663797497749329,0.04375,0.25,main_eval,,0.1,0.9,0,0
near_missing_tail,inftask,2,,0.9,50,0.4579,0.8351497054100037,0.00625,0.25,main_eval,,0.1,0.9,0,1
balanced_visible,groupdro,4,,0.1,2000,0.6941,0.8441883027553558,0.25,0.25,main_eval,,0.1,0.9,1,0
balanced_visible,groupdro,4,,0.2,2000,0.6841,0.8726890683174133,0.25,0.25,main_eval,,0.1,0.9,0,0
balanced_visible,groupdro,4,,0.5,2000,0.6499,0.9969447553157806,0.25,0.25,main_eval,,0.1,0.9,0,0
balanced_visible,groupdro,4,,0.9,2000,0.6062,1.1735267043113708,0.25,0.25,main_eval,,0.1,0.9,0,1
missing_tail,erm,0,,0.1,6000,0.8687,0.4768519848585129,0.75,0.25,main_eval,,0.1,0.9,1,0
missing_tail,erm,0,,0.2,1500,0.7846,0.9079660475254059,0.1875,0.25,main_eval,,0.1,0.9,0,0
missing_tail,erm,0,,0.5,500,0.5475,2.022040367126465,0.0625,0.25,main_eval,,0.1,0.9,0,0
missing_tail,erm,0,,0.9,0,0.2451,3.476675033569336,0.0,0.25,main_eval,,0.1,0.9,0,1
near_missing_tail,irm,0,,0.1,5800,0.7754,0.5683455467224121,0.725,0.25,main_eval,,0.1,0.9,1,0
near_missing_tail,irm,0,,0.2,1800,0.7374,0.6901355087757111,0.225,0.25,main_eval,,0.1,0.9,0,0
near_missing_tail,irm,0,,0.5,350,0.6209,1.0208228826522827,0.04375,0.25,main_eval,,0.1,0.9,0,0
near_missing_tail,irm,0,,0.9,50,0.4563,1.530953288078308,0.00625,0.25,main_eval,,0.1,0.9,0,1
missing_tail,inftask,2,,0.1,6000,0.847,0.48447223007678986,0.75,0.25,main_eval,,0.1,0.9,1,0
missing_tail,inftask,2,,0.2,1500,0.7789,0.5311159491539001,0.1875,0.25,main_eval,,0.1,0.9,0,0
missing_tail,inftask,2,,0.5,500,0.6154,0.6867093443870544,0.0625,0.25,main_eval,,0.1,0.9,0,0
missing_tail,inftask,2,,0.9,0,0.4525,0.8823977410793304,0.0,0.25,main_eval,,0.1,0.9,0,1
long_tail_visible,groupdro,2,,0.1,5000,0.8022,0.5103618502616882,0.625,0.25,main_eval,,0.1,0.9,1,0
long_tail_visible,groupdro,2,,0.2,2000,0.7559,0.6961126923561096,0.25,0.25,main_eval,,0.1,0.9,0,0
long_tail_visible,groupdro,2,,0.5,800,0.6046,1.2077741026878357,0.1,0.25,main_eval,,0.1,0.9,0,0
long_tail_visible,groupdro,2,,0.9,200,0.4122,1.8773800134658813,0.025,0.25,main_eval,,0.1,0.9,0,1
near_missing_tail,erm,1,,0.1,5800,0.8683,0.5045202374458313,0.725,0.25,main_eval,,0.1,0.9,1,0
near_missing_tail,erm,1,,0.2,1800,0.7852,0.8937074542045593,0.225,0.25,main_eval,,0.1,0.9,0,0
near_missing_tail,erm,1,,0.5,350,0.5392,2.0327601432800293,0.04375,0.25,main_eval,,0.1,0.9,0,0
near_missing_tail,erm,1,,0.9,50,0.2194,3.555267572402954,0.00625,0.25,main_eval,,0.1,0.9,0,1
long_tail_visible,irm,4,,0.1,5000,0.7654,0.5772208571434021,0.625,0.25,main_eval,,0.1,0.9,1,0
long_tail_visible,irm,4,,0.2,2000,0.734,0.6744094491004944,0.25,0.25,main_eval,,0.1,0.9,0,0
