n_domains,sample_size,exponent,missing_tail_fraction,alpha,tradeoff,repetitions,reversal_probability,observed_tail_probability,mean_empirical_tail_weight,mean_deployment_gap,mean_empirical_gap,head_favored_empirical_wins,tail_favored_empirical_wins
10,8192,1.0,0.1,0.75,0.5,1000,1.0,0.0,0.0,0.04999999999999982,0.13310353722481483,1000,0
10,8192,2.0,0.1,0.75,0.5,1000,1.0,0.0,0.0,0.04999999999999982,0.3173243641885695,1000,0
10,8192,0.0,0.2,0.75,0.5,1000,1.0,0.0,0.0,0.04999999999999982,0.06255858221126419,1000,0
10,8192,0.5,0.2,0.75,0.5,1000,1.0,0.0,0.0,0.04999999999999982,0.09702035498002874,1000,0
10,8192,1.0,0.2,0.75,0.5,1000,1.0,0.0,0.0,0.04999999999999982,0.19147951029723656,1000,0
10,8192,2.0,0.2,0.75,0.5,1000,1.0,0.0,0.0,0.04999999999999982,0.3246625035419132,1000,0
10,8192,0.0,0.3,0.75,0.5,1000,1.0,0.0,0.0,0.04999999999999982,0.11662720916808633,1000,0
10,8192,0.5,0.3,0.75,0.5,1000,1.0,0.0,0.0,0.04999999999999982,0.16099560890937303,1000,0
10,8192,1.0,0.3,0.75,0.5,1000,1.0,0.0,0.0,0.04999999999999982,0.21300851709249236,1000,0
10,8192,2.0,0.3,0.75,0.5,1000,1.0,0.0,0.0,0.04999999999999982,0.3326921260126251,1000,0
10,32,0.0,0.0,0.9,0.5,1000,0.069,0.968,0.10253125,0.04999999999999982,0.05303403679653674,69,931
10,32,0.5,0.0,0.9,0.5,1000,0.379,0.847,0.0605625,0.04999999999999982,0.031203543370210016,379,621
10,32,1.0,0.0,0.9,0.5,1000,0.777,0.68,0.0335625,0.04999999999999982,0.051636000881834246,777,223
10,32,2.0,0.0,0.9,0.5,1000,0.998,0.177,0.00596875,0.04999999999999982,0.2193125205041872,998,2
10,32,0.0,0.1,0.9,0.5,1000,0.641,0.0,0.0,0.04999999999999982,0.02585773624523629,641,359
10,32,0.5,0.1,0.9,0.5,1000,0.97,0.0,0.0,0.04999999999999982,0.0453277054735389,970,30
10,32,1.0,0.1,0.9,0.5,1000,0.999,0.0,0.0,0.04999999999999982,0.08501831409331419,999,1
10,32,2.0,0.1,0.9,0.5,1000,1.0,0.0,0.0,0.04999999999999982,0.23591167277938113,1000,0
10,32,0.0,0.2,0.9,0.5,1000,0.986,0.0,0.0,0.04999999999999982,0.06320733464066805,986,14
10,32,0.5,0.2,0.9,0.5,1000,1.0,0.0,0.0,0.04999999999999982,0.0935006425673093,1000,0
10,32,1.0,0.2,0.9,0.5,1000,1.0,0.0,0.0,0.04999999999999982,0.1287478314894982,1000,0
10,32,2.0,0.2,0.9,0.5,1000,1.0,0.0,0.0,0.04999999999999982,0.2541159458211542,1000,0
10,32,0.0,0.3,0.9,0.5,1000,1.0,0.0,0.0,0.04999999999999982,0.11657191774275108,1000,0
10,32,0.5,0.3,0.9,0.5,1000,1.0,0.0,0.0,0.04999999999999982,0.1409480780022447,1000,0
10,32,1.0,0.3,0.9,0.5,1000,1.0,0.0,0.0,0.04999999999999982,0.16864763508096842,1000,0
10,32,2.0,0.3,0.9,0.5,1000,1.0,0.0,0.0,0.04999999999999982,0.27167925246050256,1000,0
10,128,0.0,0.0,0.9,0.5,1000,0.0,1.0,0.099046875,0.04999999999999982,0.0491687063258135,0,1000
10,128,0.5,0.0,0.9,0.5,1000,0.13,0.999,0.0624765625,0.04999999999999982,0.021731234545864602,130,870
10,128,1.0,0.0,0.9,0.5,1000,0.776,0.986,0.0341796875,0.04999999999999982,0.025798181217796624,776,224
10,128,2.0,0.0,0.9,0.5,1000,1.0,0.582,0.006515625,0.04999999999999982,0.18707353128540233,1000,0
10,128,0.0,0.1,0.9,0.5,1000,0.752,0.0,0.0,0.04999999999999982,0.01771804949226081,752,248
10,128,0.5,0.1,0.9,0.5,1000,1.0,0.0,0.0,0.04999999999999982,0.03363761834907465,1000,0
10,128,1.0,0.1,0.9,0.5,1000,1.0,0.0,0.0,0.04999999999999982,0.0639685440411232,1000,0
10,128,2.0,0.1,0.9,0.5,1000,1.0,0.0,0.0,0.04999999999999982,0.207551103464939,1000,0
10,128,0.0,0.2,0.9,0.5,1000,1.0,0.0,0.0,0.04999999999999982,0.06075488033008686,1000,0
10,128,0.5,0.2,0.9,0.5,1000,1.0,0.0,0.0,0.04999999999999982,0.08514789020132088,1000,0
10,128,1.0,0.2,0.9,0.5,1000,1.0,0.0,0.0,0.04999999999999982,0.10927173661106802,1000,0
10,128,2.0,0.2,0.9,0.5,1000,1.0,0.0,0.0,0.04999999999999982,0.22900259537106382,1000,0
10,128,0.0,0.3,0.9,0.5,1000,1.0,0.0,0.0,0.04999999999999982,0.11662579478463979,1000,0
10,128,0.5,0.3,0.9,0.5,1000,1.0,0.0,0.0,0.04999999999999982,0.1343163041512008,1000,0
10,128,1.0,0.3,0.9,0.5,1000,1.0,0.0,0.0,0.04999999999999982,0.15549508894866107,1000,0
10,128,2.0,0.3,0.9,0.5,1000,1.0,0.0,0.0,0.04999999999999982,0.2520173952907978,1000,0
10,512,0.0,0.0,0.9,0.5,1000,0.0,1.0,0.0997578125,0.04999999999999982,0.048657082109104084,0,1000
10,512,0.5,0.0,0.9,0.5,1000,0.03,1.0,0.0630546875,0.04999999999999982,0.021366364578003755,30,970
10,512,1.0,0.0,0.9,0.5,1000,0.961,1.0,0.03380078125,0.04999999999999982,0.01669624058089906,961,39
10,512,2.0,0.0,0.9,0.5,1000,1.0,0.964,0.00662109375,0.04999999999999982,0.18491906394343435,1000,0
10,512,0.0,0.1,0.9,0.5,1000,0.822,0.0,0.0,0.04999999999999982,0.0145102880515764,822,178
10,512,0.5,0.1,0.9,0.5,1000,1.0,0.0,0.0,0.04999999999999982,0.034144791787862644,1000,0
10,512,1.0,0.1,0.9,0.5,1000,1.0,0.0,0.0,0.04999999999999982,0.06428537752922148,1000,0
10,512,2.0,0.1,0.9,0.5,1000,1.0,0.0,0.0,0.04999999999999982,0.20335103635166707,1000,0
10,512,0.0,0.2,0.9,0.5,1000,1.0,0.0,0.0,0.04999999999999982,0.061146910368952194,1000,0
10,512,0.5,0.2,0.9,0.5,1000,1.0,0.0,0.0,0.04999999999999982,0.0883586008851264,1000,0
10,512,1.0,0.2,0.9,0.5,1000,1.0,0.0,0.0,0.04999999999999982,0.11028163061487564,1000,0
10,512,2.0,0.2,0.9,0.5,1000,1.0,0.0,0.0,0.04999999999999982,0.226832084507707,1000,0
10,512,0.0,0.3,0.9,0.5,1000,1.0,0.0,0.0,0.04999999999999982,0.11666826021747286,1000,0
10,512,0.5,0.3,0.9,0.5,1000,1.0,0.0,0.0,0.04999999999999982,0.1386435589960006,1000,0
10,512,1.0,0.3,0.9,0.5,1000,1.0,0.0,0.0,0.04999999999999982,0.15074427302859872,1000,0
10,512,2.0,0.3,0.9,0.5,1000,1.0,0.0,0.0,0.04999999999999982,0.2516543831204107,1000,0
10,2048,0.0,0.0,0.9,0.5,1000,0.0,1.0,0.1001748046875,0.04999999999999982,0.04976585343364479,0,1000
10,2048,0.5,0.0,0.9,0.5,1000,0.0,1.0,0.0630517578125,0.04999999999999982,0.02147028538538065,0,1000
10,2048,1.0,0.0,0.9,0.5,1000,1.0,1.0,0.034263671875,0.04999999999999982,0.010154357899926227,1000,0
10,2048,2.0,0.0,0.9,0.5,1000,1.0,1.0,0.00642822265625,0.04999999999999982,0.1830719827531937,1000,0
10,2048,0.0,0.1,0.9,0.5,1000,0.958,0.0,0.0,0.04999999999999982,0.008034995969187797,958,42
10,2048,0.5,0.1,0.9,0.5,1000,1.0,0.0,0.0,0.04999999999999982,0.0341437294305313,1000,0
10,2048,1.0,0.1,0.9,0.5,1000,1.0,0.0,0.0,0.04999999999999982,0.06553405534937116,1000,0
10,2048,2.0,0.1,0.9,0.5,1000,1.0,0.0,0.0,0.04999999999999982,0.19644089358832986,1000,0
10,2048,0.0,0.2,0.9,0.5,1000,1.0,0.0,0.0,0.04999999999999982,0.06111111111111123,1000,0
10,2048,0.5,0.2,0.9,0.5,1000,1.0,0.0,0.0,0.04999999999999982,0.08967210885729418,1000,0
10,2048,1.0,0.2,0.9,0.5,1000,1.0,0.0,0.0,0.04999999999999982,0.10927261672354868,1000,0
