n_domains,sample_size,exponent,missing_mass_epsilon,requested_missing_tail_fraction,alpha,tradeoff,repetitions,analytical_delta_id,simulated_lower_cvar,simulated_upper_cvar,simulated_interval_width,empirical_interval_width_mean,empirical_interval_width_p05,empirical_interval_width_p95,empirical_cvar_lower_mean,empirical_cvar_upper_mean
10,32,1.0,0.2,0.2,0.5,0.5,1000,0.4,0.45000000000000007,0.7111111111111111,0.26111111111111107,0.25259264848951407,0.17222222222222228,0.3573218201754386,0.3709175194674947,0.6235101679570086
10,32,2.0,0.2,0.2,0.5,0.5,1000,0.4,0.45000000000000007,0.7111111111111111,0.26111111111111107,0.40351052117409086,0.371875,0.42743055555555554,0.24535688497865032,0.6488674061527413
10,32,0.0,0.3,0.3,0.5,0.5,1000,0.6,0.3944444444444445,0.7972222222222222,0.4027777777777777,0.11637416385883417,0.03902777777777784,0.1931372549019607,0.4430269944222025,0.5590948640248972
10,32,0.5,0.3,0.3,0.5,0.5,1000,0.6,0.3944444444444445,0.7972222222222222,0.4027777777777777,0.19923763544197762,0.12314542483660121,0.27895061728395065,0.40004278463899334,0.599280420080971
10,32,1.0,0.3,0.3,0.5,0.5,1000,0.6,0.3944444444444445,0.7972222222222222,0.4027777777777777,0.27951242528967196,0.2034141249092229,0.3770833333333333,0.3464171778684417,0.6259296031581136
10,32,2.0,0.3,0.3,0.5,0.5,1000,0.6,0.3944444444444445,0.7972222222222222,0.4027777777777777,0.40885201601882454,0.3822916666666667,0.42925347222222227,0.2403643104049612,0.6492163264237859
10,32,0.0,0.0,0.0,0.75,0.5,1000,0.0,0.5944444444444444,0.6444444444444443,0.04999999999999982,0.05593188012513988,0.0037533454200120117,0.12757109788359772,0.630977649542723,0.583181475777309
10,32,0.5,0.0,0.0,0.75,0.5,1000,0.0,0.5944444444444444,0.6444444444444443,0.04999999999999982,0.046487116070920265,0.004010141093474507,0.11845085470085469,0.5912261776803444,0.6229832955631782
10,32,1.0,0.0,0.0,0.75,0.5,1000,0.0,0.5944444444444444,0.6444444444444443,0.04999999999999982,0.1274905842967376,0.033179012345679125,0.22777777777777775,0.5178184844204452,0.6450874551455693
10,32,2.0,0.0,0.0,0.75,0.5,1000,0.0,0.5944444444444444,0.6444444444444443,0.04999999999999982,0.3195188989486558,0.22222222222222227,0.4239583333333333,0.33048110105134426,0.6500000000000002
10,32,0.0,0.1,0.1,0.75,0.5,1000,0.4,0.5888888888888888,0.748148148148148,0.1592592592592592,0.03574635133838565,0.002857744107743937,0.08919817836484498,0.5835140673369839,0.5903229422719619
10,32,0.5,0.1,0.1,0.75,0.5,1000,0.4,0.5888888888888888,0.748148148148148,0.1592592592592592,0.0804930395038303,0.011111111111111183,0.15555555555555556,0.5473644149757668,0.6264826297491352
10,32,1.0,0.1,0.1,0.75,0.5,1000,0.4,0.5888888888888888,0.748148148148148,0.1592592592592592,0.15993356345475804,0.07962962962962972,0.2555555555555556,0.48635291894924243,0.6462864824040007
10,32,2.0,0.1,0.1,0.75,0.5,1000,0.4,0.5888888888888888,0.748148148148148,0.1592592592592592,0.32592211991189357,0.23391975308641974,0.4239583333333333,0.3240778800881065,0.6500000000000002
10,32,0.0,0.2,0.2,0.75,0.5,1000,0.8,0.5333333333333332,0.8833333333333332,0.35,0.0628509295319022,0.008950725200725176,0.12426046176046177,0.5375510028630449,0.5982445532635483
10,32,0.5,0.2,0.2,0.75,0.5,1000,0.8,0.5333333333333332,0.8833333333333332,0.35,0.12285765665577975,0.057768281101614485,0.19541666666666677,0.5052855064733741,0.6281431631291539
10,32,1.0,0.2,0.2,0.75,0.5,1000,0.8,0.5333333333333332,0.8833333333333332,0.35,0.19579369667355354,0.12306721056721058,0.2740740740740741,0.45086521538651314,0.6466589120600668
10,32,2.0,0.2,0.2,0.75,0.5,1000,0.8,0.5333333333333332,0.8833333333333332,0.35,0.33964922046394247,0.2611111111111111,0.42743055555555554,0.31035077953605755,0.6500000000000002
10,32,0.0,0.3,0.3,0.75,0.5,1000,1.0,0.47777777777777775,1.0,0.5222222222222223,0.11454148943138236,0.05865363032029705,0.17268993352326675,0.4911008558279908,0.6056423452593731
