repetition,deployment_winner,empirical_winner,reversal,deployment_gap,empirical_gap,missing_domains,observed_tail,empirical_tail_weight
154,tail_favored,tail_favored,0,0.04999999999999993,0.00289148797920713,0,1,0.03125
155,tail_favored,head_favored,1,0.04999999999999993,0.0927875243664717,0,1,0.0625
156,tail_favored,head_favored,1,0.04999999999999993,0.06045751633986929,0,0,0.0
157,tail_favored,head_favored,1,0.04999999999999993,0.07058823529411762,0,1,0.09375
158,tail_favored,head_favored,1,0.04999999999999993,0.0838531513970111,0,1,0.0625
159,tail_favored,tail_favored,0,0.04999999999999993,0.1247702589807852,0,1,0.125
160,tail_favored,tail_favored,0,0.04999999999999993,0.07214960058097308,0,1,0.15625
161,tail_favored,tail_favored,0,0.04999999999999993,0.07486772486772475,0,1,0.09375
162,tail_favored,tail_favored,0,0.04999999999999993,0.06348039215686258,0,1,0.09375
163,tail_favored,tail_favored,0,0.04999999999999993,0.005815464587394348,0,1,0.03125
164,tail_favored,tail_favored,0,0.04999999999999993,0.033841684822076945,0,1,0.15625
165,tail_favored,head_favored,1,0.04999999999999993,0.009855521155830771,0,1,0.03125
166,tail_favored,head_favored,1,0.04999999999999993,0.0040404040404042885,0,1,0.1875
167,tail_favored,tail_favored,0,0.04999999999999993,0.16111111111111087,0,1,0.09375
168,tail_favored,head_favored,1,0.04999999999999993,0.03187134502924005,0,1,0.03125
169,tail_favored,tail_favored,0,0.04999999999999993,0.06450617283950599,0,1,0.15625
170,tail_favored,tail_favored,0,0.04999999999999993,0.06933073424301495,0,1,0.09375
171,tail_favored,tail_favored,0,0.04999999999999993,0.06478369125427941,0,1,0.03125
172,tail_favored,tail_favored,0,0.04999999999999993,0.14455667789001114,0,1,0.0625
173,tail_favored,tail_favored,0,0.04999999999999993,0.10847953216374268,0,1,0.09375
174,tail_favored,tail_favored,0,0.04999999999999993,0.006465237166991433,0,1,0.09375
175,tail_favored,tail_favored,0,0.04999999999999993,0.1546576879910212,0,1,0.125
176,tail_favored,tail_favored,0,0.04999999999999993,0.0303921568627451,0,1,0.09375
177,tail_favored,head_favored,1,0.04999999999999993,0.04861775651249345,0,1,0.03125
178,tail_favored,tail_favored,0,0.04999999999999993,0.0214482284141726,0,1,0.03125
179,tail_favored,tail_favored,0,0.04999999999999993,0.03692810457516349,0,1,0.09375
180,tail_favored,tail_favored,0,0.04999999999999993,0.15906432748537996,0,1,0.15625
181,tail_favored,tail_favored,0,0.04999999999999993,0.07253086419753074,0,1,0.15625
182,tail_favored,tail_favored,0,0.04999999999999993,0.10114638447971785,0,1,0.09375
183,tail_favored,tail_favored,0,0.04999999999999993,0.02113289760348591,0,1,0.09375
184,tail_favored,head_favored,1,0.04999999999999993,0.011111111111111072,0,1,0.0625
185,tail_favored,tail_favored,0,0.04999999999999993,0.016490299823633037,0,1,0.09375
186,tail_favored,tail_favored,0,0.04999999999999993,0.1440545808966861,0,1,0.15625
187,tail_favored,tail_favored,0,0.04999999999999993,0.08703703703703691,0,1,0.125
188,tail_favored,tail_favored,0,0.04999999999999993,0.015600275197798386,0,1,0.09375
189,tail_favored,tail_favored,0,0.04999999999999993,0.13135534915720676,0,1,0.03125
190,tail_favored,tail_favored,0,0.04999999999999993,0.03856990962254103,0,1,0.0625
191,tail_favored,head_favored,1,0.04999999999999993,0.029012345679012452,0,1,0.03125
192,tail_favored,tail_favored,0,0.04999999999999993,0.08955968352253169,0,1,0.125
193,tail_favored,tail_favored,0,0.04999999999999993,0.08957879448075506,0,1,0.03125
194,tail_favored,tail_favored,0,0.04999999999999993,0.08024691358024683,0,1,0.03125
195,tail_favored,tail_favored,0,0.04999999999999993,0.0699709513435004,0,1,0.0625
196,tail_favored,tail_favored,0,0.04999999999999993,0.060737628384687214,0,1,0.15625
197,tail_favored,tail_favored,0,0.04999999999999993,0.06444788441692473,0,1,0.0625
198,tail_favored,tail_favored,0,0.04999999999999993,0.15130718954248362,0,1,0.15625
199,tail_favored,tail_favored,0,0.04999999999999993,0.07940220922677055,0,1,0.125
200,tail_favored,tail_favored,0,0.04999999999999993,0.24296607531901648,0,1,0.3125
201,tail_favored,tail_favored,0,0.04999999999999993,0.09012345679012335,0,1,0.15625
202,tail_favored,tail_favored,0,0.04999999999999993,0.048366013071895364,0,1,0.15625
203,tail_favored,tail_favored,0,0.04999999999999993,0.05889615105301382,0,1,0.1875
204,tail_favored,tail_favored,0,0.04999999999999993,0.09722222222222221,0,1,0.125
205,tail_favored,tail_favored,0,0.04999999999999993,0.07030539311241057,0,1,0.15625
206,tail_favored,head_favored,1,0.04999999999999993,0.03427932576539383,0,1,0.125
207,tail_favored,tail_favored,0,0.04999999999999993,0.03291740938799759,0,1,0.15625
208,tail_favored,tail_favored,0,0.04999999999999993,0.014224286205710368,0,1,0.125
209,tail_favored,tail_favored,0,0.04999999999999993,0.05925925925925912,0,1,0.09375
210,tail_favored,tail_favored,0,0.04999999999999993,0.20417331206804873,0,1,0.1875
211,tail_favored,tail_favored,0,0.04999999999999993,0.1309409888357257,0,1,0.09375
212,tail_favored,head_favored,1,0.04999999999999993,0.06470588235294117,0,1,0.15625
213,tail_favored,tail_favored,0,0.04999999999999993,0.008333333333333304,0,1,0.09375
214,tail_favored,tail_favored,0,0.04999999999999993,0.06431683784624964,0,1,0.0625
215,tail_favored,tail_favored,0,0.04999999999999993,0.03692810457516338,0,1,0.0625
216,tail_favored,tail_favored,0,0.04999999999999993,0.12098765432098751,0,1,0.15625
217,tail_favored,tail_favored,0,0.04999999999999993,0.08267973856209154,0,1,0.09375
218,tail_favored,tail_favored,0,0.04999999999999993,0.1592955700798837,0,1,0.09375
219,tail_favored,tail_favored,0,0.04999999999999993,0.10796353629170952,0,1,0.1875
220,tail_favored,tail_favored,0,0.04999999999999993,0.09738562091503256,0,1,0.1875
221,tail_favored,tail_favored,0,0.04999999999999993,0.017320261437908546,0,1,0.0625
222,tail_favored,tail_favored,0,0.04999999999999993,0.03580246913580243,0,1,0.0625
223,tail_favored,tail_favored,0,0.04999999999999993,0.16038489469862016,0,1,0.15625
224,tail_favored,head_favored,1,0.04999999999999993,0.002287581699346508,0,1,0.09375
225,tail_favored,tail_favored,0,0.04999999999999993,0.028395061728395232,0,1,0.15625
226,tail_favored,tail_favored,0,0.04999999999999993,0.07941176470588229,0,1,0.1875
227,tail_favored,tail_favored,0,0.04999999999999993,0.13878256246677295,0,1,0.125
228,tail_favored,tail_favored,0,0.04999999999999993,0.04419026870007259,0,1,0.15625
229,tail_favored,tail_favored,0,0.04999999999999993,0.03454469507101077,0,1,0.125
230,tail_favored,tail_favored,0,0.04999999999999993,0.037004548408057225,0,1,0.15625
231,tail_favored,tail_favored,0,0.04999999999999993,0.01913580246913582,0,1,0.125
232,tail_favored,tail_favored,0,0.04999999999999993,0.07777777777777783,0,1,0.125
233,tail_favored,tail_favored,0,0.04999999999999993,0.11049382716049388,0,1,0.1875
234,tail_favored,tail_favored,0,0.04999999999999993,0.013562091503268037,0,1,0.09375
235,tail_favored,tail_favored,0,0.04999999999999993,0.046732026143790684,0,0,0.0
236,tail_favored,tail_favored,0,0.04999999999999993,0.0672780435938331,0,1,0.125
237,tail_favored,tail_favored,0,0.04999999999999993,0.07777777777777772,0,1,0.03125
238,tail_favored,tail_favored,0,0.04999999999999993,0.06601225285435808,0,1,0.09375
239,tail_favored,tail_favored,0,0.04999999999999993,0.1086601307189542,0,1,0.09375
240,tail_favored,tail_favored,0,0.04999999999999993,0.119353667392883,0,1,0.15625
241,tail_favored,tail_favored,0,0.04999999999999993,0.050171998624011005,0,1,0.0625
242,tail_favored,head_favored,1,0.04999999999999993,0.04487385936661309,0,1,0.03125
243,tail_favored,tail_favored,0,0.04999999999999993,0.051670843776107034,0,1,0.0625
244,tail_favored,tail_favored,0,0.04999999999999993,0.07069716775599133,0,1,0.09375
245,tail_favored,tail_favored,0,0.04999999999999993,0.006271397447868088,0,1,0.125
246,tail_favored,head_favored,1,0.04999999999999993,0.008823529411764564,0,1,0.125
247,tail_favored,tail_favored,0,0.04999999999999993,0.13531131750946002,0,1,0.15625
248,tail_favored,tail_favored,0,0.04999999999999993,0.06921470342522962,0,1,0.1875
249,tail_favored,tail_favored,0,0.04999999999999993,0.041228070175438614,0,1,0.09375
250,tail_favored,tail_favored,0,0.04999999999999993,0.11172839506172838,0,1,0.09375
251,tail_favored,tail_favored,0,0.04999999999999993,0.025308641975308577,0,1,0.15625
252,tail_favored,tail_favored,0,0.04999999999999993,0.055523066926575715,0,1,0.0625
253,tail_favored,tail_favored,0,0.04999999999999993,0.030367585630743488,0,1,0.0625
254,tail_favored,tail_favored,0,0.04999999999999993,0.0061403508771928905,0,0,0.0
255,tail_favored,tail_favored,0,0.04999999999999993,0.09629629629629632,0,1,0.1875
256,tail_favored,head_favored,1,0.04999999999999993,0.0845029239766083,0,1,0.03125
257,tail_favored,tail_favored,0,0.04999999999999993,0.1972663139329805,0,1,0.21875
258,tail_favored,tail_favored,0,0.04999999999999993,0.07191358024691363,0,1,0.09375
259,tail_favored,tail_favored,0,0.04999999999999993,0.03529411764705881,0,1,0.125
260,tail_favored,tail_favored,0,0.04999999999999993,0.15493827160493817,0,1,0.0625
261,tail_favored,head_favored,1,0.04999999999999993,0.011728395061728514,0,1,0.0625
